# blocks, direction, time(ns)
# size: 163841, g2s, 7196
2, g2s, 7122
3, g2s, 7131
4, g2s, 7137
5, g2s, 7146
6, g2s, 7163
7, g2s, 7166
8, g2s, 7190
9, g2s, 7211
10, g2s, 7225
11, g2s, 7260
12, g2s, 7326
13, g2s, 7374
14, g2s, 7414
15, g2s, 10391
16, g2s, 10417
17, g2s, 10405
18, g2s, 10455
19, g2s, 10452
20, g2s, 10450
21, g2s, 10456
22, g2s, 10465
23, g2s, 10452
24, g2s, 10452
25, g2s, 10470
26, g2s, 10473
27, g2s, 10497
28, g2s, 10535
29, g2s, 10572
30, g2s, 10559
31, g2s, 14037
32, g2s, 14097
33, g2s, 14132
34, g2s, 14159
35, g2s, 14165
36, g2s, 14183
37, g2s, 14185
38, g2s, 14189
39, g2s, 14196
40, g2s, 14196
41, g2s, 14201
42, g2s, 14207
43, g2s, 14212
44, g2s, 14211
45, g2s, 14212
46, g2s, 17469
47, g2s, 17541
48, g2s, 17569
49, g2s, 17591
50, g2s, 17613
51, g2s, 17632
52, g2s, 17653
53, g2s, 17661
54, g2s, 17674
55, g2s, 17694
56, g2s, 17701
57, g2s, 17713
58, g2s, 17719
59, g2s, 17731
60, g2s, 17751
61, g2s, 21110
62, g2s, 21172
63, g2s, 21203
64, g2s, 21224
1, s2g, 13402
2, s2g, 13401
3, s2g, 13459
4, s2g, 13432
5, s2g, 13418
6, s2g, 13446
7, s2g, 13433
8, s2g, 13536
9, s2g, 13562
10, s2g, 13575
11, s2g, 13582
12, s2g, 14165
13, s2g, 14607
14, s2g, 14886
15, s2g, 17554
16, s2g, 17723
17, s2g, 17678
18, s2g, 17875
19, s2g, 17870
20, s2g, 17856
21, s2g, 17844
22, s2g, 17874
23, s2g, 17853
24, s2g, 17855
25, s2g, 17871
26, s2g, 17856
27, s2g, 17891
28, s2g, 17813
29, s2g, 17865
30, s2g, 17915
31, s2g, 20855
32, s2g, 20830
33, s2g, 20826
34, s2g, 20837
35, s2g, 20830
36, s2g, 20506
37, s2g, 20346
38, s2g, 20434
39, s2g, 20417
40, s2g, 20412
41, s2g, 20486
42, s2g, 20437
43, s2g, 20504
44, s2g, 20421
45, s2g, 20690
46, s2g, 24252
47, s2g, 24313
48, s2g, 24213
49, s2g, 24282
50, s2g, 24218
51, s2g, 24214
52, s2g, 24284
53, s2g, 24260
54, s2g, 24262
55, s2g, 24216
56, s2g, 24227
57, s2g, 24289
58, s2g, 24268
59, s2g, 24266
60, s2g, 24314
61, s2g, 27268
62, s2g, 27289
63, s2g, 27317
64, s2g, 27362
